comparison,overall_fst,n1,n2
str_BAT~str_POI,0.0983,8,16
str_BAT~str_POL,0.1465,8,19
str_BAT~str_ROC,0.0901,8,22
str_BAT~str_SEC,0.1654,8,6
str_BAT~str_SHE,0.1254,8,3
str_BAT~str_SIL,0.2184,8,6
str_BAT~str_SLK,0.1937,8,20
str_BAT~str_SNO,0.1137,8,8
str_BAT~str_TCR,0.0865,8,23
str_BAT~str_TNY,0.1189,8,15
str_BAT~str_TOJ,0.1088,8,17
str_BAT~str_TRB,0.088,8,8
str_BAT~str_UNK,0.2907,8,1
str_BAT~str_UWF,0.2637,8,9
str_BAT~str_WAC,0.0114,8,25
str_BAT~str_WHO,0.1922,8,8
str_BAT~str_WIC,0.1451,8,27
str_BAT~str_WIL,0.0664,8,8
str_BAT~str_WLN,0.095,8,22
str_BAT~str_WMR,0.1084,8,7
str_BEA~str_BGA,0.0857,21,3
str_BEA~str_BYD,0.1409,21,16
str_BEA~str_CCC,0.1271,21,10
str_BEA~str_CMC,0.1036,21,14
str_BEA~str_COY,0.073,21,25
str_BEA~str_CRA,0.2047,21,21
str_BEA~str_CWC,0.1412,21,9
str_BEA~str_DIX,0.2609,21,9
str_BEA~str_EFC,0.2168,21,8
str_BEA~str_FCC,0.2746,21,9
str_BEA~str_FOR,0.0896,21,22
str_BEA~str_FRZ,0.1695,21,24
str_BEA~str_GAN,0.0957,21,23
str_BEA~str_GOC,0.2237,21,10
str_BEA~str_HAN,0.1175,21,18
str_BEA~str_INC,0.4443,21,1
str_BEA~str_INK,0.2465,21,7
str_BEA~str_IPL,0.1489,21,10
str_BEA~str_JCC,0.2521,21,15
str_BEA~str_LEE,0.1316,21,11
str_BEA~str_LIN,0.1316,21,13
str_BEA~str_LJK,0.0586,21,21
str_BEA~str_LNF,0.1687,21,12
str_BEA~str_LNG,0.0525,21,5
str_BEA~str_LON,0.1123,21,15
str_BEA~str_LTA,0.0309,21,3
str_BEA~str_LWF,0.3036,21,9
