pop,pcrit,Neb,Neb_lCI,Neb_uCI,He_Ne,He_lCIp,He_uCIp,LDNe,LDNe_lCIp,LDNe_uCIp,LDNe_lCIj,LDNe_uCIj,facet
str_SIL,0.02,225.7,0.2,1133.1,4.4,3,9.1,Inf,Inf,Inf,Inf,Inf,stream
str_SIL,0.01,225.7,0.2,1133.1,4.4,3,9.1,Inf,Inf,Inf,Inf,Inf,stream
str_SLK,0.05,1.4,1.1,1.8,2.8,2.2,3.6,Inf,Inf,Inf,Inf,Inf,stream
str_SLK,0.02,1.4,1.1,1.8,4,3.2,5.5,Inf,Inf,Inf,3.1,Inf,stream
str_SLK,0.01,1.4,1.1,1.8,4,3.2,5.5,Inf,Inf,Inf,3.1,Inf,stream
str_SNO,0.05,2.4,1.6,3.3,5.3,3.4,12.6,Inf,Inf,Inf,24.6,Inf,stream
str_SNO,0.02,2.4,1.6,3.3,5.3,3.4,12.6,Inf,Inf,Inf,24.6,Inf,stream
str_SNO,0.01,2.4,1.6,3.3,5.3,3.4,12.6,Inf,Inf,Inf,24.6,Inf,stream
str_TCR,0.05,1,0.7,1.3,4.3,3,8.3,85.4,44.4,495.9,23.4,Inf,stream
str_TCR,0.02,1,0.7,1.3,7.2,5,14.1,Inf,275.3,Inf,40.8,Inf,stream
str_TCR,0.01,1,0.7,1.3,7.8,5.3,15.4,141.8,79.9,526.8,22.4,Inf,stream
str_TNY,0.05,2.8,2.1,3.6,6.2,4.1,13.7,Inf,Inf,Inf,2,Inf,stream
str_TNY,0.02,2.8,2.1,3.6,8.2,5.4,18.7,Inf,Inf,Inf,3.2,Inf,stream
str_TNY,0.01,2.8,2.1,3.6,8.2,5.4,18.7,Inf,Inf,Inf,3.2,Inf,stream
str_TOJ,0.05,1.6,1.1,2.3,4.1,2.9,7.5,Inf,Inf,Inf,Inf,Inf,stream
str_TOJ,0.02,1.6,1.1,2.3,5.7,4,10.9,Inf,Inf,Inf,50.8,Inf,stream
str_TOJ,0.01,1.6,1.1,2.3,5.7,4,10.9,Inf,Inf,Inf,50.8,Inf,stream
str_TRB,0.05,1.8,1.3,2.3,3.3,2.6,4.8,Inf,Inf,Inf,11.6,Inf,stream
str_TRB,0.02,1.8,1.3,2.3,3.5,2.7,5.2,Inf,Inf,Inf,7.3,Inf,stream
str_TRB,0.01,1.8,1.3,2.3,3.5,2.7,5.2,Inf,Inf,Inf,7.3,Inf,stream
str_UNK,0.05,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,stream
str_UNK,0.02,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,stream
str_UNK,0.01,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,stream
str_UWF,0.05,5.7,3.9,7.8,4,3.2,5.4,Inf,Inf,Inf,Inf,Inf,stream
str_UWF,0.02,5.7,3.9,7.8,4,3.2,5.4,Inf,Inf,Inf,Inf,Inf,stream
