Creek	Basin	year	Relative.percent.RBT	pred_pi	pi	pred_ho	ho	pred_Het.Hom	Het.Hom	pred_Tajimas.theta.4Nu	Tajimas.theta.4Nu	pred_Wattersons.theta.4Nu	Wattersons.theta.4Nu	pred_ne.rand	ne.rand	pred_theta_diff	theta_diff	pred_LDNe_0.01	LDNe_0.01	pred_LDNe_0.02	LDNe_0.02	LDNe_0.05	n
Long Canyon	Little Humboldt	2016	1.03333333333333	0.0114683621006831	0.0248366013071895	0.0111584692919544	0.0239651416122004	0.0115192650918527	0.0245873159819458	0.000218272782712986	0.00032192	0.000250764241107231	0.000342454	NA	NA	-0.138545388718394	-0.0618145803417954	NA	NA	NA	NA	NA	3
Long Canyon	South Fork Humboldt	2012	0	0.0124112869566902	0.0113449638873368	0.0122904400143358	0.0107779226423294	0.0143661410282697	0.0128849419304298	0.000213710793992623	0.000235518	0.000228949539949032	0.000224161	NA	NA	-0.0688507407958462	0.0494127423702191	NA	NA	NA	NA	NA	5
Lower Wolf	Walker	2015	0.64	0.0631808740829887	0.0812334356819651	0.0718654376544609	0.0911011904761905	0.0759067212735611	0.101453685595854	0.000155822787594856	0.000239692	0.000309866860161926	0.000442458	23.804343209389	23	-0.661573961581915	-0.594490947738767	NA	NA	NA	NA	NA	10
Macklin	Yuba out of basin	2016	0	0.0180439061610441	0.0182462596556391	0.0219239900842735	0.022348471586234	0.0204020596046	0.0199871343534252	0.000244622589290597	0.00025872	0.00027691059037789	0.000280786	25	25	-0.123819547235009	-0.0818007584716389	NA	NA	NA	NA	NA	20
Mahogany	Black Rock	2013	0.626666666666667	0.0157386601545439	0.0258546148550534	0.0166040988069471	0.0271154783214757	0.0212022411050269	0.0336482407573917	0.000240839649564321	0.000334986	0.000321794473419402	0.000422848	32.7875860591934	32	-0.287770757400091	-0.231876637891675	NA	NA	NA	NA	NA	15
Mainstem	Marys	2017	0.0434782608695652	0.0147839375168664	0.01500449292043	0.0158411918672936	0.0157514458148158	0.0159149253033616	0.0156700611081241	0.000271812739915184	0.000267485	0.000297917088837295	0.000297237	30.0546428810727	30	-0.0916376415792404	-0.105368659269517	266.134539809575	265.2	266.143448753065	265.2	4920.2	23
Marys River Basin	Marys	2016	0.08	0.0155291683879418	0.0164617868007699	0.016540665603482	0.0172750977835724	0.0199349191123009	0.0203281189025232	0.000312273738423124	0.000359675	0.000344761517021848	0.00037321	NA	NA	-0.098892040661417	-0.0369362178240788	NA	NA	NA	NA	NA	5
Marysville	Reese	2016	0.06	0.0070597922227604	0.00727944372012169	0.00773849482422977	0.00793133420252064	0.00800316913658113	0.00720024003229791	0.000160608586711364	0.000177768	0.00019407310136688	0.000184132	NA	NA	-0.188701676913938	-0.0351699364465322	NA	NA	NA	NA	NA	5
Meiss Meadows	Truckee	2017	0.055	0.0177883398016219	0.018905147797551	0.0178672649313201	0.0185954500932139	0.0199797610112964	0.0219093560135983	0.000271623538017704	0.000294128	0.000298185231075424	0.000315449	58.0691232445566	58	-0.0932302010725253	-0.0699534267204963	NA	NA	NA	NA	NA	20
Mill	Walker	2015	0	0.0207813635065438	0.0238844534238391	0.0271950740074434	0.0315561407317665	0.0428706907052422	0.0439016136145388	0.000117226079312817	0.000115716	0.00018005220671779	0.000153508	11.3440835956975	17	-0.422675522278173	-0.280747630226131	NA	NA	NA	NA	NA	27
