OffspringID1	OffspringID2	Probability
MAR_WIC_2000_094	MAR_WIC_2000_097	0.18
MAR_WIC_2000_095	MAR_WIC_2000_098	0.827
MAR_WIC_2000_095	MAR_WIC_2000_100	0.105
MAR_WIC_2000_098	MAR_WIC_2000_100	0.344
MAR_WIC_2000_102	MAR_WIC_2000_104	0.559
MAR_WIC_2017_001	MAR_WIC_2017_014	0.939
MAR_WIC_2017_001	MAR_WIC_2017_016	0.921
MAR_WIC_2017_001	MAR_WIC_2017_019	0.772
MAR_WIC_2017_001	MAR_WIC_2017_023	0.701
MAR_WIC_2017_001	MAR_WIC_2017_029	0.989
MAR_WIC_2017_005	MAR_WIC_2017_013	0.011
MAR_WIC_2017_005	MAR_WIC_2017_021	0.019
MAR_WIC_2017_005	MAR_WIC_2017_026	0.101
MAR_WIC_2017_008	MAR_WIC_2017_020	0.002
MAR_WIC_2017_009	MAR_WIC_2017_026	0.013
MAR_WIC_2017_010	MAR_WIC_2017_020	0.996
MAR_WIC_2017_012	MAR_WIC_2017_030	0.956
MAR_WIC_2017_013	MAR_WIC_2017_021	0.634
MAR_WIC_2017_014	MAR_WIC_2017_016	1
MAR_WIC_2017_014	MAR_WIC_2017_019	0.998
MAR_WIC_2017_014	MAR_WIC_2017_023	1
MAR_WIC_2017_014	MAR_WIC_2017_029	0.898
MAR_WIC_2017_016	MAR_WIC_2017_019	0.998
MAR_WIC_2017_016	MAR_WIC_2017_023	1
MAR_WIC_2017_016	MAR_WIC_2017_029	0.921
MAR_WIC_2017_019	MAR_WIC_2017_023	1
MAR_WIC_2017_019	MAR_WIC_2017_029	0.842
MAR_WIC_2017_023	MAR_WIC_2017_029	0.924
MAR_WIC_2017_024	MAR_WIC_2017_026	0.032
MAR_WMR_2016_003	MAR_WMR_2016_004	0.085
MCD_CCC_2017_001	MCD_CCC_2017_002	0.853
MCD_CCC_2017_001	MCD_CCC_2017_009	0.116
MCD_CCC_2017_001	MCD_CCC_2017_011	0.046
MCD_CCC_2017_002	MCD_CCC_2017_005	0.001
MCD_CCC_2017_002	MCD_CCC_2017_009	0.021
MCD_CCC_2017_002	MCD_CCC_2017_011	0.097
MCD_CCC_2017_003	MCD_CCC_2017_005	0.005
MCD_CCC_2017_003	MCD_CCC_2017_008	0.226
MCD_CCC_2017_003	MCD_CCC_2017_011	0.01
MCD_CCC_2017_005	MCD_CCC_2017_006	0.024
MCD_CCC_2017_005	MCD_CCC_2017_007	0.051
MCD_CCC_2017_005	MCD_CCC_2017_008	0.08
MCD_CCC_2017_005	MCD_CCC_2017_009	0.008
MCD_CCC_2017_005	MCD_CCC_2017_010	0.085
MCD_CCC_2017_005	MCD_CCC_2017_011	0.049
MCD_CCC_2017_006	MCD_CCC_2017_011	0.042
MCD_CCC_2017_007	MCD_CCC_2017_008	0.006
MCD_CCC_2017_008	MCD_CCC_2017_011	0.003
MCD_CCC_2017_009	MCD_CCC_2017_011	0.022
MCD_CCC_2017_010	MCD_CCC_2017_011	0.017
MCD_LIN_2000_101	MCD_LIN_2000_112	0.011
MCD_LIN_2000_101	MCD_LIN_2000_113	0.008
MCD_LIN_2000_102	MCD_LIN_2000_105	0.356
MCD_LIN_2000_102	MCD_LIN_2000_111	0.017
MCD_LIN_2000_102	MCD_LIN_2000_112	0.022
MCD_LIN_2000_104	MCD_LIN_2000_110	0.337
MCD_LIN_2000_104	MCD_LIN_2000_113	0.002
MCD_LIN_2000_105	MCD_LIN_2000_109	0.011
MCD_LIN_2000_105	MCD_LIN_2000_111	0.008
MCD_LIN_2000_105	MCD_LIN_2000_112	0.02
MCD_LIN_2000_109	MCD_LIN_2000_111	0.276
MCD_LIN_2000_111	MCD_LIN_2000_112	0.01
MCD_LIN_2000_111	MCD_LIN_2000_113	0.007
MCD_LIN_2000_112	MCD_LIN_2000_113	0.007
MCD_LIN_2017_001	MCD_LIN_2017_002	0.007
NFH_FOR_1997_001	NFH_FOR_1997_111	0.001
NFH_FOR_1997_021	NFH_FOR_1997_053	0.032
NFH_FOR_1997_053	NFH_FOR_1997_054	0.003
